Date,Datayear,True_massORwidth,Mean(GeV),Uncertainty(GeV)_mean,SigmaG(GeV),Uncertainty(GeV)_sigma,lognormalmean,error_lognormalmean,deltaM,lognormalsigma,error_lognormalsigma,deltaS,Reso,error_Reso
2025-07-04 17:55:17,Run2,1695,5.089802608019634,0.0010259244952828261,0.10906821345586683,0.0010920273076950177,163.32638253336515,0.2567389714636511,6.173617466634852,17.86682571985686,0.19190546562776004,16.46682571985686,17.81189100864191,0.191315418380413
2025-07-04 17:56:47,Run2,1705,5.0932504127508205,0.0011318950241014925,0.10587638120309215,0.0011369313410533044,163.8342615959763,0.27857733885122343,6.665738404023699,17.394904286640173,0.20050529599021827,15.994904286640173,17.338474417934602,0.19985484759791583
2025-07-04 17:57:21,Run2,1715,5.095714020100033,0.0011227460440279557,0.10607289589055467,0.0011577471386519655,164.24180287412565,0.27947707310322345,7.2581971258743465,17.470723336589657,0.20442149453157096,16.07072333658966,17.41453915277859,0.20376409445703367
2025-07-04 17:57:54,Run2,1725,5.098594598371011,0.0012607264277435526,0.10632430227879615,0.0012822099732190187,164.71999411603917,0.31326965938193485,7.7800058839608255,17.563352797601272,0.22727951273175415,16.163352797601274,17.507465878676115,0.22655630504767665
2025-07-04 17:58:28,Run2,1735,5.100625763378884,0.0008822463154234406,0.10626285286189878,0.0010635878127997003,165.05382953928913,0.23339275373452,8.446170460710874,17.588719424514814,0.18727125147589585,16.188719424514815,17.53291336299546,0.18667707115335888
2025-07-04 17:58:59,Run2,1745,5.102509712910139,0.0008596408494625507,0.10706572568609468,0.0010576708989346387,165.37923783553407,0.22962515206972509,9.12076216446593,17.757312063061995,0.1865389442397501,16.357312063061997,17.702037501512844,0.18595829001020925
2025-07-04 17:59:44,Run2,1755,5.106881536034613,0.0008964243015721074,0.1064149644256985,0.001103365438257363,166.0922917672477,0.24051941379243524,9.407708232752299,17.7248612993549,0.1953340086990769,16.3248612993549,17.669485224006074,0.19472374548735283
2025-07-04 18:00:19,Run2,075,5.098348914346248,0.0009756563428440224,0.1061421477988493,0.0011307822210207472,164.6763433564755,0.25377405955721066,-157.1763433564755,17.528447087873865,0.1989992819770697,16.778447087873865,17.5123943911846,0.19881703679020604
2025-07-04 18:00:51,Run2,090,5.098409181386561,0.0008304689644291763,0.10617449796371406,0.0010140605996948326,164.68683378438382,0.22026851902265485,-155.68683378438382,17.534936561084216,0.1780362098262126,16.634936561084217,17.51182458230004,0.17780154863482567
2025-07-04 18:01:22,Run2,110,5.098484261596865,0.001699826392548509,0.1062239496873887,0.001536093822522018,164.70006392944805,0.4064588909072058,-153.70006392944805,17.544559099350135,0.27413759770009527,16.444559099350133,17.51004151881399,0.27359825290647494
2025-07-04 18:01:53,Run2,130,5.098546255419115,0.0011181510239035575,0.1062695595964466,0.0011733589925402022,164.71107280468,0.28080446392796393,-151.71107280468,17.55330812158494,0.2076079850310384,16.25330812158494,17.505102856347342,0.20703784760084323
2025-07-04 18:02:29,Run2,1725,5.098594598371011,0.0012607264277435526,0.10632430227879615,0.0012822099732190187,164.71999411603917,0.31326965938193485,7.7800058839608255,17.563352797601272,0.22727951273175415,16.163352797601274,17.507465878676115,0.22655630504767665
2025-07-04 18:03:02,Run2,150,5.0986093446072145,0.000892707982869112,0.10632343014000592,0.001011875628323597,164.7224078593167,0.2303883034292447,-149.7224078593167,17.563465280568018,0.1783441001409713,16.063465280568018,17.49929463326217,0.1776924943122578
2025-07-04 18:03:36,Run2,170,5.0986678686001925,0.001433516837000326,0.10637880160465188,0.0013125376278039502,164.7330184342067,0.3442566981536294,-147.7330184342067,17.57379581929489,0.23412928647278483,15.873795819294891,17.49137786162847,0.23303126201526855
2025-07-04 18:04:09,Run2,190,5.098724189205577,0.0011618591940489864,0.10643610265616539,0.0011989216973564212,164.74330103829968,0.29016567802379745,-145.74330103829968,17.584413215942956,0.2123965870602898,15.684413215942955,17.48146413058784,0.211153097493599
======= with out xsec and lumi sys ==========
2025-07-04 19:21:10,Run2,1695,5.089801722593013,0.0011407098738152044,0.10906751340708537,0.0011326079088905192,163.32622544948293,0.2788001253598535,6.1737745505170665,17.86669317527873,0.1998202969269799,16.46669317527873,17.81175805527213,0.19920590500320595
2025-07-04 19:21:41,Run2,1705,5.093251281070777,0.0012459659220276365,0.10587660947190966,0.0011828132249254927,163.83440781619635,0.3010248411259757,6.665592183803653,17.394957525329577,0.2092796743913735,15.994957525329577,17.33852782989433,0.2086007656748965
2025-07-04 19:22:09,Run2,1715,5.095713979745848,0.0014142253349436196,0.10607287522157748,0.0012594528532082552,164.24179588619506,0.3357023080213539,7.258204113804936,17.47071916980099,0.224317806805368,16.07071916980099,17.414534972546694,0.2235964217391488
2025-07-04 19:22:42,Run2,1725,5.09859200261452,0.0011633188126944916,0.10632297806532785,0.0011941956608583285,164.7195433518781,0.28997502556437466,7.780456648121913,17.563084754158915,0.21156863052144534,16.163084754158916,17.507196979578694,0.2108953945781963
2025-07-04 19:23:11,Run2,1735,5.100624839253166,0.0011428117202836319,0.10626259983459124,0.0012052760625377995,165.05367257101153,0.288092891781905,8.446327428988468,17.588660579259688,0.2136399233562603,16.18866057925969,17.53285433043929,0.21296207511039392
2025-07-04 19:23:43,Run2,1745,5.10250854311783,0.0011848584179503518,0.10706467429962278,0.0012534849031202722,165.37902576008085,0.29960078686575986,9.12097423991915,17.7571139137286,0.22273883700044425,16.3571139137286,17.701838733451783,0.2220454850610658
